@relation ecoli4
@attribute 'Mcg' real [0.0, 0.89]
@attribute 'Gvh' real [0.16, 1.0]
@attribute 'Lip' real [0.48, 1.0]
@attribute 'Chg' real [0.5, 1.0]
@attribute 'Aac' real [0.0, 0.88]
@attribute 'Alm1' real [0.03, 1.0]
@attribute 'Alm2' real [0.0, 0.99]
@attribute 'outlier' {yes,no}
@data
0.49, 0.29, 0.48, 0.50, 0.56, 0.24, 0.35,no
0.07, 0.40, 0.48, 0.50, 0.54, 0.35, 0.44,no
0.56, 0.40, 0.48, 0.50, 0.49, 0.37, 0.46,no
0.59, 0.49, 0.48, 0.50, 0.52, 0.45, 0.36,no
0.23, 0.32, 0.48, 0.50, 0.55, 0.25, 0.35,no
0.67, 0.39, 0.48, 0.50, 0.36, 0.38, 0.46,no
0.29, 0.28, 0.48, 0.50, 0.44, 0.23, 0.34,no
0.21, 0.34, 0.48, 0.50, 0.51, 0.28, 0.39,no
0.20, 0.44, 0.48, 0.50, 0.46, 0.51, 0.57,no
0.42, 0.40, 0.48, 0.50, 0.56, 0.18, 0.30,no
0.42, 0.24, 0.48, 0.50, 0.57, 0.27, 0.37,no
0.25, 0.48, 0.48, 0.50, 0.44, 0.17, 0.29,no
0.39, 0.32, 0.48, 0.50, 0.46, 0.24, 0.35,no
0.51, 0.50, 0.48, 0.50, 0.46, 0.32, 0.35,no
0.22, 0.43, 0.48, 0.50, 0.48, 0.16, 0.28,no
0.25, 0.40, 0.48, 0.50, 0.46, 0.44, 0.52,no
0.34, 0.45, 0.48, 0.50, 0.38, 0.24, 0.35,no
0.44, 0.27, 0.48, 0.50, 0.55, 0.52, 0.58,no
0.23, 0.40, 0.48, 0.50, 0.39, 0.28, 0.38,no
0.41, 0.57, 0.48, 0.50, 0.39, 0.21, 0.32,no
0.40, 0.45, 0.48, 0.50, 0.38, 0.22, 0.00,no
0.31, 0.23, 0.48, 0.50, 0.73, 0.05, 0.14,no
0.51, 0.54, 0.48, 0.50, 0.41, 0.34, 0.43,no
0.30, 0.16, 0.48, 0.50, 0.56, 0.11, 0.23,no
0.36, 0.39, 0.48, 0.50, 0.48, 0.22, 0.23,no
0.29, 0.37, 0.48, 0.50, 0.48, 0.44, 0.52,no
0.25, 0.40, 0.48, 0.50, 0.47, 0.33, 0.42,no
0.21, 0.51, 0.48, 0.50, 0.50, 0.32, 0.41,no
0.43, 0.37, 0.48, 0.50, 0.53, 0.35, 0.44,no
0.43, 0.39, 0.48, 0.50, 0.47, 0.31, 0.41,no
0.53, 0.38, 0.48, 0.50, 0.44, 0.26, 0.36,no
0.34, 0.33, 0.48, 0.50, 0.38, 0.35, 0.44,no
0.56, 0.51, 0.48, 0.50, 0.34, 0.37, 0.46,no
0.40, 0.29, 0.48, 0.50, 0.42, 0.35, 0.44,no
0.24, 0.35, 0.48, 0.50, 0.31, 0.19, 0.31,no
0.36, 0.54, 0.48, 0.50, 0.41, 0.38, 0.46,no
0.29, 0.52, 0.48, 0.50, 0.42, 0.29, 0.39,no
0.65, 0.47, 0.48, 0.50, 0.59, 0.30, 0.40,no
0.32, 0.42, 0.48, 0.50, 0.35, 0.28, 0.38,no
0.38, 0.46, 0.48, 0.50, 0.48, 0.22, 0.29,no
0.33, 0.45, 0.48, 0.50, 0.52, 0.32, 0.41,no
0.30, 0.37, 0.48, 0.50, 0.59, 0.41, 0.49,no
0.40, 0.50, 0.48, 0.50, 0.45, 0.39, 0.47,no
0.28, 0.38, 0.48, 0.50, 0.50, 0.33, 0.42,no
0.61, 0.45, 0.48, 0.50, 0.48, 0.35, 0.41,no
0.17, 0.38, 0.48, 0.50, 0.45, 0.42, 0.50,no
0.44, 0.35, 0.48, 0.50, 0.55, 0.55, 0.61,no
0.43, 0.40, 0.48, 0.50, 0.39, 0.28, 0.39,no
0.42, 0.35, 0.48, 0.50, 0.58, 0.15, 0.27,no
0.23, 0.33, 0.48, 0.50, 0.43, 0.33, 0.43,no
0.37, 0.52, 0.48, 0.50, 0.42, 0.42, 0.36,no
0.29, 0.30, 0.48, 0.50, 0.45, 0.03, 0.17,no
0.22, 0.36, 0.48, 0.50, 0.35, 0.39, 0.47,no
0.23, 0.58, 0.48, 0.50, 0.37, 0.53, 0.59,no
0.47, 0.47, 0.48, 0.50, 0.22, 0.16, 0.26,no
0.54, 0.47, 0.48, 0.50, 0.28, 0.33, 0.42,no
0.51, 0.37, 0.48, 0.50, 0.35, 0.36, 0.45,no
0.40, 0.35, 0.48, 0.50, 0.45, 0.33, 0.42,no
0.44, 0.34, 0.48, 0.50, 0.30, 0.33, 0.43,no
0.42, 0.38, 0.48, 0.50, 0.54, 0.34, 0.43,no
0.44, 0.56, 0.48, 0.50, 0.50, 0.46, 0.54,no
0.52, 0.36, 0.48, 0.50, 0.41, 0.28, 0.38,no
0.36, 0.41, 0.48, 0.50, 0.48, 0.47, 0.54,no
0.18, 0.30, 0.48, 0.50, 0.46, 0.24, 0.35,no
0.47, 0.29, 0.48, 0.50, 0.51, 0.33, 0.43,no
0.24, 0.43, 0.48, 0.50, 0.54, 0.52, 0.59,no
0.25, 0.37, 0.48, 0.50, 0.41, 0.33, 0.42,no
0.52, 0.57, 0.48, 0.50, 0.42, 0.47, 0.54,no
0.25, 0.37, 0.48, 0.50, 0.43, 0.26, 0.36,no
